11/10/2021 09:52:54 WebMVC		|	WebMVC Customizer - Check for customization (C: Catalog, M: Index)
11/10/2021 09:52:54 TenantManager	|	Checking for tenant customization (C: Catalog, M: Index)
11/10/2021 09:52:55 TenantManager	|	No customization was found (C: Catalog, M: Index)
11/10/2021 09:52:55 WebMVC		|	WebMVC Customizer - No customization found (C: Catalog, M: Index)
11/10/2021 09:52:55 WebMVC		|	Get catalog
11/10/2021 09:52:55 Catalog API		|	Get catalog
11/10/2021 09:52:55 WebMVC		|	Display catalog
11/10/2021 09:53:11 WebMVC		|	WebMVC Customizer - Check for customization (C: Catalog, M: Index)
11/10/2021 09:53:11 TenantManager	|	Checking for tenant customization (C: Catalog, M: Index)
11/10/2021 09:53:11 TenantManager	|	No customization was found (C: Catalog, M: Index)
11/10/2021 09:53:11 WebMVC		|	WebMVC Customizer - No customization found (C: Catalog, M: Index)
11/10/2021 09:53:11 WebMVC		|	Get catalog
11/10/2021 09:53:11 Catalog API		|	Get catalog
11/10/2021 09:53:11 WebMVC		|	Display catalog
11/10/2021 10:18:55 WebMVC		|	WebMVC Customizer - Check for customization (C: Cart, M: AddItemToCart)
11/10/2021 10:18:55 TenantManager	|	Checking for tenant customization (C: Cart, M: AddItemToCart)
11/10/2021 10:18:55 TenantManager	|	No customization was found (C: Cart, M: AddItemToCart)
11/10/2021 10:18:55 WebMVC		|	WebMVC Customizer - No customization found (C: Cart, M: AddItemToCart)
11/10/2021 10:18:55 WebMVC		|	Add item to cart
11/10/2021 10:18:55 Catalog API		|	Get single item from catalog
11/10/2021 10:18:55 Cart API		|	Add item to cart
11/10/2021 10:18:55 WebMVC		|	WebMVC Customizer - Check for customization (C: Cart, M: Index)
11/10/2021 10:18:55 TenantManager	|	Checking for tenant customization (C: Cart, M: Index)
11/10/2021 10:18:55 TenantManager	|	No customization was found (C: Cart, M: Index)
11/10/2021 10:18:55 WebMVC		|	WebMVC Customizer - No customization found (C: Cart, M: Index)
11/10/2021 10:18:55 WebMVC		|	Get cart
11/10/2021 10:18:55 Cart API		|	Get cart
11/10/2021 10:18:56 WebMVC		|	Display cart
11/10/2021 10:19:05 WebMVC		|	View customizations
11/10/2021 10:19:05 TenantManager	|	Get all teant customiations
11/10/2021 10:19:05 WebMVC		|	Display customization
11/10/2021 10:19:29 WebMVC		|	View to create new customization
11/10/2021 10:19:59 WebMVC		|	View customizations
11/10/2021 10:19:59 TenantManager	|	Get all teant customiations
11/10/2021 10:19:59 WebMVC		|	Display customization
11/10/2021 10:20:05 WebMVC		|	Get possible customizations
11/10/2021 10:20:05 TenantManager	|	Get all customization points
11/10/2021 10:20:05 WebMVC		|	Display possible customizaitons
11/10/2021 10:20:14 WebMVC		|	View specific possible customization
11/10/2021 10:20:14 TenantManager	|	Get a single customization point (1)
11/10/2021 10:20:14 WebMVC		|	Display specific possible customizaitons
11/10/2021 10:20:36 WebMVC		|	Get possible customizations
11/10/2021 10:20:36 TenantManager	|	Get all customization points
11/10/2021 10:20:36 WebMVC		|	Display possible customizaitons
11/10/2021 10:21:13 WebMVC		|	WebMVC Customizer - Check for customization (C: Catalog, M: Index)
11/10/2021 10:21:13 TenantManager	|	Checking for tenant customization (C: Catalog, M: Index)
11/10/2021 10:21:13 TenantManager	|	Customization was found (C: Catalog, M: Index)
11/10/2021 10:21:13 WebMVC		|	WebMVC Customizer - run customization (C: Catalog, M: Index)
11/10/2021 10:21:13 Catlog Customization|	Get catalog from core BL services
11/10/2021 10:21:13 Catalog API		|	Get catalog
11/10/2021 10:21:13 Catlog Customization|	Return Custom Catalog View
11/10/2021 10:21:13 WebMVC		|	WebMVC Customizer - return customized HTML view (C: Catalog, M: Index)
11/10/2021 10:21:22 WebMVC		|	WebMVC Customizer - Check for customization (C: Cart, M: AddItemToCart)
11/10/2021 10:21:22 TenantManager	|	Checking for tenant customization (C: Cart, M: AddItemToCart)
11/10/2021 10:21:22 TenantManager	|	No customization was found (C: Cart, M: AddItemToCart)
11/10/2021 10:21:22 WebMVC		|	WebMVC Customizer - No customization found (C: Cart, M: AddItemToCart)
11/10/2021 10:21:22 WebMVC		|	Add item to cart
11/10/2021 10:21:22 Catalog API		|	Get single item from catalog
11/10/2021 10:21:22 Cart API		|	Add item to cart
11/10/2021 10:21:22 WebMVC		|	WebMVC Customizer - Check for customization (C: Cart, M: Index)
11/10/2021 10:21:22 TenantManager	|	Checking for tenant customization (C: Cart, M: Index)
11/10/2021 10:21:22 TenantManager	|	Customization was found (C: Cart, M: Index)
11/10/2021 10:21:22 WebMVC		|	WebMVC Customizer - run customization (C: Cart, M: Index)
11/10/2021 10:21:22 Catlog Customization|	Get user's cart from core BL services
11/10/2021 10:21:22 Cart API		|	Get cart
11/10/2021 10:21:22 Catlog Customization|	Return custom view for cart
11/10/2021 10:21:22 WebMVC		|	WebMVC Customizer - return customized HTML view (C: Cart, M: Index)
11/10/2021 10:21:36 WebMVC		|	WebMVC Customizer - Check for customization (C: Cart, M: UpdateCart)
11/10/2021 10:21:36 TenantManager	|	Checking for tenant customization (C: Cart, M: UpdateCart)
11/10/2021 10:21:36 TenantManager	|	Customization was found (C: Cart, M: UpdateCart)
11/10/2021 10:21:36 WebMVC		|	WebMVC Customizer - run customization (C: Cart, M: UpdateCart)
11/10/2021 10:21:36 Catlog Customization|	Get user's cart from core BL services
11/10/2021 10:21:36 Cart API		|	Get cart
11/10/2021 10:21:36 Cart API		|	Delete item from cart
11/10/2021 10:21:36 Cart API		|	Get cart
11/10/2021 10:21:36 Catlog Customization|	Get user's cart from core BL services
11/10/2021 10:21:36 Cart API		|	Update cart
11/10/2021 10:21:36 WebMVC		|	WebMVC Customizer - return customized HTML view (C: Cart, M: UpdateCart)
11/10/2021 10:21:36 WebMVC		|	WebMVC Customizer - Check for customization (C: Cart, M: Index)
11/10/2021 10:21:36 TenantManager	|	Checking for tenant customization (C: Cart, M: Index)
11/10/2021 10:21:36 TenantManager	|	Customization was found (C: Cart, M: Index)
11/10/2021 10:21:36 WebMVC		|	WebMVC Customizer - run customization (C: Cart, M: Index)
11/10/2021 10:21:36 Catlog Customization|	Get user's cart from core BL services
11/10/2021 10:21:36 Cart API		|	Get cart
11/10/2021 10:21:36 Catlog Customization|	Return custom view for cart
11/10/2021 10:21:36 WebMVC		|	WebMVC Customizer - return customized HTML view (C: Cart, M: Index)
